TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;9,30;;-4,18;1,08;0,40;30,10;1,60;-22,81;59,46;100,37;40,90;0,75;0,95;-4,92;-0,52;0,74;-25,92;-9,58;-0,51;0,37;0,62;0,42;0,13;;1.278.320,65;8,58;-2,22;-0,04;1.100.123.188,80
ABCB4;25,60;6,16;6,25;1,06;0,11;25,50;17,06;15,50;5,68;5,68;;;0,97;-2,96;-0,11;0,05;16,95;1,73;;0,10;0,91;0,11;18,70;17,80;15.944.442,80;24,15;4,09;-0,34;6.065.564.057,60
ABEV3;12,35;5,91;12,90;2,16;1,41;50,30;22,59;18,29;10,45;9,70;-0,75;-0,15;2,36;52,49;-1,94;1,11;16,71;10,94;18,63;0,65;0,34;0,60;10,72;15,72;364.840.355,75;5,73;0,96;0,85;194.559.841.057,40
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;0,55;;-6,24;0,84;0,18;12,62;9,03;-3,39;2,34;5,86;3,51;1,26;0,21;0,83;-0,55;1,46;-13,42;-2,86;10,53;0,21;0,79;0,84;;;1.491.281,45;0,66;-0,09;-0,03;683.322.163,15
AESB3;9,62;;36,70;1,30;0,29;35,54;28,78;4,90;6,25;16,21;9,96;2,06;1,80;17,73;-0,35;1,11;3,53;0,80;5,04;0,23;0,72;0,16;;;21.576.459,60;7,43;0,26;-0,54;5.790.540.731,82
AFLT3;7,21;3,64;14,84;1,74;1,45;57,31;45,58;44,72;14,57;14,19;-0,38;-0,05;6,64;14,91;-1,81;1,98;11,71;9,80;10,57;0,84;0,16;0,22;24,96;19,61;7.059,13;4,15;0,49;-0,20;454.840.687,00
AGRO3;25,01;12,84;10,01;1,17;0,73;30,65;20,17;20,86;10,35;12,21;1,85;0,21;2,09;3,58;-1,19;2,14;11,68;7,31;7,59;0,63;0,37;0,35;27,22;15,22;7.246.805,00;21,40;2,50;-0,23;2.568.112.934,44
AGXY3;2,29;1,73;-1,55;0,38;0,05;12,31;3,90;-2,43;0,96;3,56;2,59;1,03;0,04;1,71;-0,23;1,04;-24,61;-3,22;11,82;0,13;0,87;1,33;;;759.187,10;6,00;-1,48;-0,01;391.189.224,81
AHEB3;19,00;;1,67;9,72;0,44;33,84;21,93;17,66;1,34;1,32;-0,02;-0,17;0,29;2,84;-0,77;1,55;582,53;26,18;533,83;0,04;0,96;1,48;20,77;;1.900,00;1,95;11,39;0,00;162.064.672,34
AHEB5;16,61;;1,46;8,50;0,38;33,84;21,93;17,66;1,18;1,32;-0,02;-0,17;0,26;2,48;-0,67;1,55;582,53;26,18;533,83;0,04;0,96;1,48;20,77;;1.661,00;1,95;11,39;0,00;162.064.672,34
AHEB6;17,02;;1,49;8,71;0,39;33,84;21,93;17,66;1,20;1,32;-0,02;-0,17;0,26;2,54;-0,69;1,55;582,53;26,18;533,83;0,04;0,96;1,48;20,77;;1.702,00;1,95;11,39;0,00;162.064.672,34
ALLD3;9,27;10,41;11,36;0,56;0,25;12,55;3,39;1,31;4,40;5,68;1,28;0,16;0,15;0,86;-0,81;1,73;4,90;2,20;7,91;0,45;0,55;1,67;14,71;32,13;833.683,05;16,66;0,82;3,71;864.154.795,14
ALOS3;23,78;2,18;4,35;0,93;0,49;96,37;264,05;140,12;2,31;2,03;-0,28;-0,11;6,10;13,30;-0,54;1,58;21,32;11,20;27,21;0,53;0,43;0,08;25,65;86,64;67.597.986,60;25,62;5,46;0,00;13.648.219.696,02
ALPA3;9,70;;-23,53;1,23;0,84;40,37;-9,97;-7,36;-17,35;-19,12;-2,17;0,15;1,73;2,98;-1,38;3,51;-5,22;-3,56;-8,00;0,68;0,32;0,48;2,36;;39.300,53;7,89;-0,41;0,14;6.471.105.363,55
ALPA4;9,25;;-22,44;1,17;0,80;40,37;-9,97;-7,36;-16,55;-19,12;-2,17;0,15;1,65;2,84;-1,32;3,51;-5,22;-3,56;-8,00;0,68;0,32;0,48;2,36;;32.617.919,85;7,89;-0,41;0,14;6.471.105.363,55
ALPK3;4,49;;-9,00;2,56;0,38;29,90;10,81;-8,39;6,98;15,63;8,65;3,17;0,75;-3,25;-0,44;0,55;-28,46;-4,21;7,28;0,15;0,85;0,50;3,17;;511.427,75;1,75;-0,50;0,26;974.437.872,25
ALSC3;27,75;;38,57;2,20;1,20;75,71;65,32;27,78;16,41;14,85;-1,56;-0,21;10,72;9,41;-1,43;5,39;5,69;3,12;11,21;0,55;0,44;0,11;2,54;19,34;;12,64;0,72;0,58;5.694.242.307,75
ALUP11;30,80;5,84;12,60;1,24;0,33;75,83;71,87;23,53;4,13;8,04;3,91;1,18;2,97;3,70;-0,41;1,89;9,87;2,63;9,39;0,27;0,62;0,11;20,04;17,61;25.411.645,85;24,75;2,44;-0,59;9.386.563.894,40
ALUP3;10,32;5,81;12,67;1,25;0,33;75,83;71,87;23,53;4,15;8,04;3,91;1,18;2,98;3,71;-0,41;1,89;9,87;2,63;9,39;0,27;0,62;0,11;20,04;17,61;175.717,50;8,25;0,81;-0,60;9.386.563.894,40
ALUP4;10,24;5,86;12,57;1,24;0,33;75,83;71,87;23,53;4,12;8,04;3,91;1,18;2,96;3,69;-0,41;1,89;9,87;2,63;9,39;0,27;0,62;0,11;20,04;17,61;206.500,90;8,25;0,81;-0,59;9.386.563.894,40
AMAR3;1,83;;-0,21;1,16;0,05;35,54;-16,35;-26,68;-0,34;-3,38;-3,04;10,33;0,06;-0,38;-0,08;0,75;-554,09;-24,09;-27,15;0,04;0,96;0,90;-0,89;;2.118.838,95;1,57;-8,71;0,00;125.480.505,06
AMBP3;14,00;0,96;-18,43;2,36;0,22;23,51;18,46;-2,69;2,69;7,87;5,19;4,56;0,50;0,93;-0,39;2,30;-12,82;-1,21;8,16;0,09;0,84;0,45;83,52;;14.825.970,85;5,92;-0,76;0,08;2.338.586.166,00
AMER3;0,61;;-0,04;-0,02;0,02;19,46;-30,26;-50,03;-0,07;-2,21;-2,14;;0,02;-0,02;-0,04;0,34;-48,42;-41,26;202,73;-0,85;1,85;0,82;32,64;;8.256.992,30;-29,55;-14,31;0,00;550.542.996,83
ANDG3B;28,82;;59,95;2,23;1,88;47,12;179,06;45,82;15,34;8,60;0,93;0,13;27,47;-25,32;-1,93;0,26;3,71;3,14;12,68;0,85;0,15;0,07;10,22;-38,09;;12,94;0,48;-0,78;1.651.867.985,68
