TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ABCB4;20,77;7,35;6,97;0,80;0,07;17,76;12,53;10,94;6,08;6,08;;;0,76;1,56;-0,08;2,58;11,43;1,05;;0,09;0,91;0,10;20,08;11,85;11.521.886,76;26,07;2,98;-0,57;5.076.629.782,75
ALOS3;19,21;7,33;13,63;0,74;0,38;72,96;43,47;28,02;8,78;5,80;-3,00;-0,25;3,82;4,40;-0,46;2,06;5,46;2,78;7,28;0,51;0,46;0,10;48,62;32,24;87.476.573,05;25,79;1,41;-0,18;10.451.535.498,25
APER3;46,75;;-32,82;2,02;1,01;100,00;6,60;-8,16;40,57;43,31;2,74;0,14;2,68;115,28;-1,38;1,03;-6,15;-3,09;2,91;0,50;0,50;0,38;29,52;;9.745,90;23,16;-1,42;0,16;953.269.946,75
ATOM3;3,35;;4,15;2,02;1,55;93,46;3,10;62,27;83,42;78,23;-7,68;-0,19;2,58;5,06;-2,41;6,84;48,68;37,26;-44,50;0,77;0,23;0,60;31,18;22,10;619.785,00;1,66;0,81;0,00;82.126.898,10
B3SA3;10,43;3,85;13,12;2,96;1,23;89,98;55,08;41,48;9,88;9,52;-0,35;-0,10;5,44;7,43;-1,91;1,86;22,53;9,36;13,14;0,42;0,58;0,23;15,48;15,62;533.493.324,38;3,53;0,79;5,93;56.544.130.000,00
BAZA3;84,73;7,82;3,64;0,74;0,09;14,51;31,41;28,37;3,29;3,29;;;1,03;2,36;-0,10;;20,19;2,55;;0,13;0,87;0,09;25,91;64,26;128.372,76;115,26;23,27;0,40;4.749.821.029,95
BBAS3;24,65;10,60;4,42;0,79;0,06;37,76;12,73;12,13;4,21;4,21;;;0,54;1,74;-0,06;17,90;17,87;1,37;;0,08;0,92;0,11;17,16;18,25;526.932.958,71;31,21;5,58;-1,11;141.207.750.745,60
BBDC3;11,09;12,37;7,96;0,71;0,06;31,34;5,89;7,03;9,50;9,99;;;0,56;0,60;-0,07;12,95;8,87;0,73;;0,08;0,92;0,10;14,80;-2,22;104.784.468,48;15,70;1,39;1,13;124.183.985.037,06
BBDC4;12,18;12,39;8,75;0,78;0,06;31,34;5,89;7,03;10,43;9,99;;;0,61;0,66;-0,07;12,95;8,87;0,73;;0,08;0,92;0,10;14,80;-2,22;410.256.977,43;15,70;1,39;1,24;124.183.985.037,06
BBSE3;36,84;7,20;8,65;6,01;3,83;;;;7,68;7,67;;;;18,34;-6,27;2,17;69,51;44,32;;0,64;0,36;0,00;;19,19;116.765.622,95;6,13;4,26;0,77;73.640.000.000,00
BEES3;8,12;8,45;6,76;1,13;0,07;30,78;11,08;7,91;4,83;4,88;;;0,54;0,27;-0,09;;16,68;1,01;;0,06;0,94;0,13;18,84;19,80;87.298,57;7,20;1,20;0,65;2.589.598.266,80
BEES4;8,42;5,97;7,01;1,17;0,07;30,78;11,08;7,91;5,01;4,88;;;0,55;0,28;-0,10;;16,68;1,01;;0,06;0,94;0,13;18,84;19,80;25.427,05;7,20;1,20;0,68;2.589.598.266,80
BFRE11;0,00;;0,00;0,00;0,00;100,00;195,96;118,16;0,00;;;;0,00;0,00;0,00;;6,82;5,98;;0,88;0,10;0,05;;6,26;;309.815,90;21.126,92;0,00;
