TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ABCB4;20,92;5,76;5,99;0,83;0,08;25,85;20,99;15,79;4,51;4,51;;;0,95;1,30;-0,09;3,81;13,81;1,41;;0,10;0,90;0,09;18,70;13,07;11.038.968,89;25,31;3,49;1,24;4.729.805.268,56
ALOS3;24,70;2,10;4,42;0,97;0,50;101,46;315,02;172,55;2,42;2,13;-0,29;-0,12;7,63;10,71;-0,56;1,87;21,84;11,36;26,95;0,52;0,44;0,07;25,65;87,46;110.900.251,64;25,57;5,58;0,00;14.176.241.652,30
APER3;42,47;0,76;32,74;1,02;0,59;100,00;11,00;5,02;14,96;14,60;-0,35;-0,02;1,64;-27,35;-0,75;0,90;3,12;1,82;5,96;0,58;0,42;0,36;22,90;;1.623.936,79;41,62;1,30;-1,34;487.561.290,98
ATOM3;2,10;15,26;22,63;2,57;1,75;94,22;5,18;8,23;35,96;22,76;-13,21;-0,94;1,86;1,85;-78,72;34,11;11,36;7,75;4,23;0,68;0,32;0,94;;-11,48;18.305,29;0,82;0,09;-0,30;49.990.285,80
B3SA3;12,96;3,13;17,87;3,73;1,58;85,66;51,52;40,19;13,94;13,32;-0,62;-0,17;7,18;13,82;-2,46;1,46;20,86;8,82;12,22;0,42;0,58;0,22;22,44;26,63;484.170.393,29;3,48;0,73;-8,24;75.414.240.000,00
BAZA3;84,00;6,35;3,77;0,86;0,12;29,18;53,10;34,41;2,44;2,44;;;1,30;2,85;-0,12;;22,87;3,06;;0,13;0,87;0,09;17,64;80,88;331.914,68;97,45;22,28;0,09;4.708.898.460,00
BBAS3;50,24;9,15;4,32;0,87;0,06;32,66;15,94;12,40;3,36;3,36;;;0,54;2,51;-0,07;14,76;20,10;1,50;;0,07;0,92;0,12;9,97;25,65;492.299.562,86;57,82;11,62;0,20;143.958.551.084,80
BBDC3;13,31;6,88;10,23;0,85;0,07;30,94;3,95;6,18;16,02;17,06;;;0,63;0,62;-0,09;11,40;8,33;0,73;;0,09;0,91;0,12;8,37;-4,12;79.748.007,64;15,62;1,30;-0,24;150.836.813.130,99
BBDC4;15,04;6,70;11,56;0,96;0,08;30,94;3,95;6,18;18,10;17,06;;;0,71;0,70;-0,10;11,40;8,33;0,73;;0,09;0,91;0,12;8,37;-4,12;523.505.379,68;15,62;1,30;-0,27;150.836.813.130,99
BBSE3;31,30;11,14;8,18;5,87;3,86;;;;7,21;7,21;;;;36,19;-5,36;1,61;71,80;47,15;;0,66;0,34;0,00;;13,59;138.097.041,21;5,33;3,83;0,23;62.600.000.000,00
BEES3;8,51;7,39;8,21;1,32;0,07;26,39;8,82;6,42;5,98;6,12;;;0,53;0,70;-0,08;;16,14;0,85;;0,05;0,95;0,13;12,53;14,38;92.862,71;6,43;1,04;-1,65;2.754.645.789,40
BEES4;9,29;6,77;8,96;1,45;0,08;26,39;8,82;6,42;6,52;6,12;;;0,58;0,77;-0,08;;16,14;0,85;;0,05;0,95;0,13;12,53;14,38;34.753,18;6,43;1,04;-1,80;2.754.645.789,40
BFRE11;0,00;;0,00;0,00;0,00;31,58;170,29;145,51;0,00;;;;0,00;0,00;0,00;;9,21;8,19;;0,89;0,10;0,06;;13,07;;302.450,49;27.857,74;0,00;
BFRE12;0,00;;0,00;0,00;0,00;31,58;170,29;145,51;0,00;;;;0,00;0,00;0,00;;9,21;8,19;;0,89;0,10;0,06;;13,07;;302.450,49;27.857,74;0,00;
BGIP3;25,94;8,65;7,11;0,73;0,05;35,65;5,57;5,27;6,72;6,14;;;0,37;-0,34;-0,10;0,76;10,32;0,71;;0,07;0,93;0,14;8,79;-6,36;4.148,80;35,35;3,65;0,29;401.009.845,60
BGIP4;21,50;11,48;5,90;0,61;0,04;35,65;5,57;5,27;5,57;6,14;;;0,31;-0,28;-0,08;0,76;10,32;0,71;;0,07;0,93;0,14;8,79;-6,36;13.616,85;35,35;3,65;0,24;401.009.845,60
BIDI11;10,40;;-238,07;1,08;0,23;50,04;-13,62;-5,22;-91,21;-91,21;;;12,42;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;;9,67;-0,04;0,13;8.991.139.764,53
BIDI3;3,40;;-233,49;1,06;0,23;50,04;-13,62;-5,22;-89,46;-91,21;;;12,19;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;;3,22;-0,01;0,12;8.991.139.764,53
BIDI4;3,41;;-234,18;1,06;0,23;50,04;-13,62;-5,22;-89,72;-91,21;;;12,22;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;;3,22;-0,01;0,12;8.991.139.764,53
BLUT3;5,14;;-5,63;0,46;0,14;;;;-6,17;-4,91;-1,59;0,12;;-1,08;-0,14;0,00;-8,15;-2,46;-6,65;0,30;0,70;0,00;;;;11,21;-0,91;0,20;14.115.600,06
BLUT4;1,52;;-1,66;0,14;0,04;;;;-1,82;-4,91;-1,59;0,12;;-0,32;-0,04;0,00;-8,15;-2,46;-6,65;0,30;0,70;0,00;;;;11,21;-0,91;0,06;14.115.600,06
BMEB3;15,40;4,46;5,61;1,10;0,09;52,09;7,94;6,39;4,52;4,31;;;0,36;0,81;-0,10;;19,66;1,59;;0,08;0,92;0,25;5,94;31,72;9.500,33;13,96;2,74;0,11;1.539.022.243,60
BMEB4;13,50;5,60;4,92;0,97;0,08;52,09;7,94;6,39;3,96;4,31;;;0,31;0,71;-0,09;;19,66;1,59;;0,08;0,92;0,25;5,94;31,72;246.780,79;13,96;2,74;0,10;1.539.022.243,60
BMGB4;2,50;6,61;6,62;0,35;0,03;35,71;0,71;3,05;28,66;28,66;;;0,20;;-0,03;;5,32;0,50;;0,09;0,91;0,16;19,34;78,00;1.223.581,04;7,10;0,38;0,04;1.458.081.027,50
BMIN3;23,88;5,06;12,01;0,84;0,45;59,27;33,24;26,08;9,43;8,96;;;3,13;97,07;-0,45;;7,00;3,71;;0,53;0,47;0,14;16,78;;2.390,00;28,39;1,99;0,27;109.558.834,86
BMIN4;15,90;7,59;8,00;0,56;0,30;59,27;33,24;26,08;6,28;8,96;;;2,09;64,63;-0,30;;7,00;3,71;;0,53;0,47;0,14;16,78;;5.644,40;28,39;1,99;0,18;109.558.834,86
BNBR3;93,45;3,79;3,62;0,82;0,12;45,79;43,39;25,87;2,16;2,16;;;0,94;1,99;-0,13;;22,64;3,34;;0,15;0,85;0,13;8,76;25,53;16.803,73;114,18;25,85;0,09;8.071.413.310,80
BOAS3;7,95;3,20;15,22;1,83;1,70;56,53;19,25;32,39;25,60;18,69;-6,92;-0,50;4,93;3,34;-3,80;12,37;12,04;11,16;4,65;0,93;0,07;0,34;8,81;74,34;53.310.276,50;4,34;0,52;5,59;4.212.250.617,75
BPAC11;33,88;2,20;14,70;2,72;0,30;19,88;23,13;19,91;12,65;12,65;;;2,93;21,09;-3,12;1,02;18,51;2,07;;0,11;0,89;0,10;46,00;33,74;281.569.746,54;12,46;2,31;0,62;129.942.447.720,21
BPAC3;16,02;1,55;20,85;3,86;0,43;19,88;23,13;19,91;17,94;12,65;;;4,15;29,92;-4,43;1,02;18,51;2,07;;0,11;0,89;0,10;46,00;33,74;117.058,04;4,15;0,77;0,88;129.942.447.720,21
BPAC5;8,92;2,78;11,61;2,15;0,24;19,88;23,13;19,91;9,99;12,65;;;2,31;16,66;-2,47;1,02;18,51;2,07;;0,11;0,89;0,10;46,00;33,74;77.667,39;4,15;0,77;0,49;129.942.447.720,21
BPAN4;8,44;2,98;17,21;1,46;0,20;49,84;4,88;4,32;15,22;15,22;;;0,74;;-0,20;;8,47;1,16;;0,14;0,86;0,27;8,24;41,40;16.101.846,43;5,79;0,49;-2,04;10.710.951.559,60
